id,text,url,HS,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
275,Manusia yang tidak adabnya sama bangsa Indonesia dari Sabang sampai Merauke telah merusak rumah anggota Dewan Perwakilan Rakyat bung Ahmad Sahroni 😊,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,1,1,0,1,0,0,1,0,1,0
276,Sejak awal aku tak syur liat ni orang,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,1,0,0,0,0,0,1,1,0,0
277,Anak Jabodetabek di lawan,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
278,Mantap gua suka ini,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
279,Pria switer baju kuning intel,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
280,Ngeri guys,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
281,sayang bget mobilnya dirusak mbdibg dijual biar bisa dibagi2 kan keorg yg gk mampu,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
282,ngeri bget lhatnya gmn gk shok istrinya klu plg mlhat rumahnya.udah ikhlasin ja tu uang n brang2 hartamu sbgian milik rakyat.,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
283,Ini baru adil,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
284,Ya Tuhanku lindungilah pejuang rakyat Indonesia ini yg berani berjuang 🙏🏻🙏🏻,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
285,Malam,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
286,Terbaik rakyat indonasia manuntut kedilan ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
287,saya bersumpah jija ada pemilihan dpr mpr bhkan pemilihan apa pun itu sayya tidak ingin memilih sebelum para koruptor di hukum mati koruptor,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
288,"Keadilan sosial bagi seluruh rakyat  Indonesia. Merdeka, 🇸🇬👍👍👍🇸🇬😀",https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
289,Ratakan,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
290,Mantap dn lanjutkan,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
291,Hancorkan itu uwang rayat,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,1,0,0,0,0,0,1,1,0,0
292,"INI BARU RAKYAT SANGAT HEBAT. RAKYAT SUDAH MARAH. DARI SARAWAK, MALAYSIA",https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
293,Tombol puas,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
294,Alhamdullilah..senang btul saya lhat mampos kau sahroni,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,1,0,0,0,0,0,1,1,0,0
295,"Kok q bahagia si melihat ini,",https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
296,Cukup Cantek masih baik Rumah  C Anjing  Buldok TDK D bakar  kami dukung  pendemo Menecekusi  c predator .pengnguasa  bantai Bu uh..gantung Ramai 2,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,0,1,0,0,0,1,1,0,1,0
297,Waoooow mntp hancurkn orang jolim,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,1,0,0,0,0,0,1,1,0,0
298,Rumah menteri d msia juga hrus d Bakar n d robohkn,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,0,1,0,0,0,0,1,0,0,1
299,"Bubarkan dpr
Keluarga Saya kelaparan 
Gak ada yg peduli",https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,1,0,1,0,0,0,0,1,0,0,1
300,"PUAS BGT NGELIATNYA 😂😂😂
WAKIL RAKYAT KOK GLAMOR, DITENGAH KELAPARAN DAN PENGANGGURAN MENINGKAT.",https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL,0,0,0,0,0,0,0,0,0,0,0
301,KUALITAS TNI BIKIN KETAWA 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂TNI LUCU,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,1,0,1,
302,Muride mbah nun iki,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
303,Maju trus bang,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
304,"bang. kenapa cedikiawan tidAk ditambahkan dipemerintahan. kan dengan cara itu kita bisa lebih maju dengan cara berpikir cedikiawan, yang rata rata liat kobdisi lalu cari solusi🗿",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
305,"Dek buat sementara kalo makan minum masak sendiri dulu ya
Jangan terima makanan minuman dari siapapun dulu
Be healty",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
306,"Sekelas jendral TNI harus melawan warga sipil, malu harga diri TNI ada yg lebih penting drpda ngurusin bang ferry",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
307,TNI digaji dari pajak Rakyat,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
308,tujuan kehidupan adalah mmpertahankan kehidupan itu sendiri selama yg di mungkinkan,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
309,Eee kacang ijo,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
310,Dia bisa disebut sebagai pahlawan ga sih??,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
311,"MATI MUDAH, HIDUP SULIT. MASARAKAT INDONESIA SUDAH MATI DI TANGAN KORUPTOR",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
312,Bang lu baik baik aja kan?,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
313,ini editornya sofarsabi ya?,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
314,"Sang oknum malah bikin ""kegaduhan"" baru. Apakah ini pengalihan isu?",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
315,dukung bang ferry terus guys.. suara rakyat ada padanya bukan pd DPR,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
316,bang apa pendapat lu dikatain ternak nya mulyono?,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
317,sehat sehat bang Ferry,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
318,"Maju trs bang, mntap",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
319,loh kok gw buffer di menit ke 1,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
320,"No perang no naik pangkat,rakyat sipil sndiri pun di jadikan musuh untuk kepentingan itu.
Miris",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
321,"BULSHIT Ketika MANUSIA BERKATA BAHWA DIA TIDAK TAKUT MATI ....,,BULSHIT.....!!!😂😂😂..",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
322,"banyak sih orang pinter kayak anda,, saya punya bayak teman2 kerja dikemterian jenius2 kayak anda. Tapi saya akui hati anda tulus dengan empati yang luas..",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
323,"Mati itu Mudah , Hidup itu Sulit, gak sesimpel itu",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
324,TNI lucu sekali kalian,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,0,0,1,0
325,"Luffy dianggap kriminal di pemerintahan, tp dianggap pahlawan dimata dunia karena impiannya bukan demi kekuasaan, tetapi demi kebebasan sejati di lautan ..",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
326,"bg yakin aku, kalo lu kenapa"" pasti gen Z serentak dukung lu bg",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
327,Sambil makan MBG nih,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
328,Emang baik yaa 🌝,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
329,haha malunya sampe kapanpun itu Ijo dikenang sampe anak cucu cicit nanti 😂,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
330,"Gw kl gak bisa telpon orang yang gak kenal bisa minta temen or rekanan untuk grup call.

Mang DC gak bisa telepon?",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
331,Semoga Allah memenangkan kebenaran dan keadilan utk rakyat ❤semangat kak semoga slalu dlm lindungan Tuhan❤,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
332,Bang ferry...mksh ya bang...kemarin bang ferry ikut orasi di KPK RI bantu warga pati utk mendapatkan keadilan...sampe sekarang belum ada status yg jelas bang...semoga bang ferry dimudahkan urusannya oleh Allah swt..jangan takut menyuarakan hati nurani rakyat bang...semangat bang ferry.,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
333,fakta fakta tapi dugaan cakap apa sih baby it,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
334,"Jadi rakyat itu susah ,Aparat itu badjingan",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,1,0,1,0
335,"Mati itu enak daerah saya ada kata mati bangek atau diartikan mati enak, wkwkwkkk",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
336,"Editor yg bner kerja editor, cutting nya gk rapi masa kalimat di obrolin 2 kali",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
337,Saat lo ngomong gitu lo takut mati men ah munafik lo😂,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
338,"boomer emng selalu bikin resah, karna memang power syndrome yang mengakibatkan penindasan rakyat dan tak masuk logika atas tindakannya",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,1,0,1,0
339,Orang cerdas itu kuat!!,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
340,TNI Indonesia ketar ketir,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
341,Au korupsi aja kaga. Teroris jg bukan. Bandar judol juga bukan.. malah dalih dalih pencemaran nama baik .. kan kocak ya TNI ini😂,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
342,"Di racun di udara, munir maksudnya bang?",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
343,"Justru yg mencemarkan nama baik tni adalah jendral"" itu sendiri,, masa seorang jendral tni gk paham hukum,, dan melaporkan hal yg konyol😄😄
Payah"",, gimana negara kita mau maju",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
344,Bukannya urusin judol noh berani ga ya.. malah ngurusin fery ini.. kocak sih beraninya aka majikan sendiri yg kasih gaji yak,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
345,"Nice share bang.. kamu pahlawan hidup di negara yg sedang sakit dan berusaha untuk sembuh,, semoga indonesia bisa hidup baik kedepannya..",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
346,Keren lu bang,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
347,Tetap suarakan KEBENARAN BANG,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
348,"Suka lucu aja kalau ada kelompok atau orang suka koar-koar dan melabeli diri  sebagai pasukan berani mati 😂 mau berani, mau takut yang ada kematian itu adalah kepastian, yang seharusnya dikampanyekan bersama itu pasukan berani hidup. apalagi hidup disebuah negara yang kesenjangan dalah hal dan segi apapun sangat nampak jelas.",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
349,dah ilang respek sama loreng ijo ini  sama aja kyk  coklat2 itu,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,1,0,1,0
350,Next bahas lagi soal mati.. perkara yg juga menjadi tabu dalam perbincangan,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
351,"Semangat terus bang Ferry, pasti orang baik akan selalu dilindungi oleh Allah 🤲",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
352,"Mati itu mudah, hidup itu Jokowi,",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
353,"doa terbaik untuk anda dan keluarga bang, tetap selalu semangat",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
354,pantaw rumah ferry jaga baik2 bantu semua .,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
355,Bravo ferry,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
356,Malu maluin TNI. ASLI,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
357,dari baju dia udah ketahuan dia memang radikal,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
358,"semangat bang.
sebenernya cokelat dan ijo sama saja, cuma si ijo lebih rapi saja mainnya didepan masyarakat umum",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
359,sehat selalu bang ferry,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
360,"kau minta maaf aja, ngga usah banyak bacot. nanti kau hidup tapi males untuk hidup kalau lo ngomong2 ngasal lagi",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
361,"V for Vendetta adalah film yg di rilis tahun 2006  dan di adaptasi dari novel grafis karya alan moore & david Lloyd.

Film ini bukan hanya tentang balas dendam politik, tapi juga menggambarkan tentang bagaimana menghadapi sistem otoriter, tirani, oligarki dsbnya yg tujuannya menguasai seluruh sendi kehidupan, menipu, menindas, merampas hak kebebasan masyarakat sipil. 

Dan yang menarik adalah film ini juga menggambarkan tentang cara mengalahkan rasa takut yang menguasai diri sendiri. Sebab, ketika rasa takut telah di kebiri maka kemerdekaan hakiki akan berada di genggaman kita.

Selama peradaban manusia masih ada, film ini akan selalu layak untuk di kenang bukan hanya sebatas sebagai pesan tapi juga sebagai WARNING untuk orang² yang telah di tunjuk sebagai pemimpin.

""Bahwasanya di dalam suatu negeri/bangsa tak ada yang lebih tinggi derajatnya kecuali RAKYAT itu sendiri(yg nyangkut di otak gue)",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
362,Kalo bang farry sampe di tahan gue demo,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
363,"Woi bang ,, semangat lo terus ada bersama kami ,,, mau geger lagi siap turun ke jalan",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
364,panjang umur bang.. masih banyak anak bangsa yang butuh bimbingan lu🙏,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
365,"#kalo kamu bersih, kenapa harus risih 👏",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
366,"Resign2😂, jangan ngomong politik lagi, mending bahas one piece aja",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
367,jangan mati dulu one piece belum tamatt.. 😅,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
368,maju terus bang ❤,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
369,tan malaka reborn,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
370,"kalau bersih, kenapa harus risih klasss bung, sehat selalu semoga Allah selalu melindungimu",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
371,BALIK KE BARAK,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
372,"Mang setelah mati selesai urusan??  Justru kalau mati itu yg sesuatu keadaan yg tidak bisa di perbaiki.. Klu hidup di dunia itu gampang, semua masih bisa di perbaiki.. Susah dan senang hanya sili berganti..",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
373,"KALAU BANG FERI DI TANGKEP, DEMO LAGI NIH🥲",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
374,Wkkwwkkw polri dan TNI memenjarakan masyarakat,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
375,Sehat trus abg ku,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
376,"SI BOOMER TUA BANGKA KALAH DEBAT MALAH NGELAPOR BJIR, CUPU BET AEOWKWOWKWOKWKW",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
377,"alhamdulillah terimakasih yaa allah do'a saya terkabul, suasananya mulai sedikit tenang.
bung ferry orang cerdas,  jujur panutan cerdaskan para remaja kita ini, terus beberapa hari kebelakang dengar akan dipidanakan,  sumpah kaget banget dan memang lucu jg,  masa iyaa balik lagi ke zaman sebelumnya.",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
378,"yusril harus turun tangan ikut menjelaskan gara2 uda ferry berhasil membuka pertunjukan adu kuasa/hegemoni antara tni dengan polri..
tni karena tidak ingin dicap orba, melaporkan uda ini via hukum sipil yg mana tidak akan mereka lakukan jika kekuasaan mereka kuat.. kalau mereka kuat, cara mereka menyelesaikan 
""masalah"" uda ferry ga akan terpikir sama kita.. :D
sementara polri yg track record selama 2 periode sangat mudah mengkriminalisasi terutama dengan pasal karet kali ini ga mau proses, mendadak ""ngerti"" hukum :D, seolah2 menunjukkan ke tni bahwa ""kami ga bisa kalian atur"" dan "" jangan ganggu yaa, kami lagi ""bersolek"" .. haha",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
379,Yahh si ijo baperannn hu..hu..✋🤚,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
380,"Mantap,sikat bang",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
381,Deep,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
382,"Kalo bersih kenapa harus risih ?? 😂😂
OY NDRAL JENDRAL KALO BERSIH KENAPA HARUS RISIH WOYY 😂😂 NDRAL JENDRAL. NGERII LOO NDRAL JENDRAL. 😂😂",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
383,"Berani nya sama rakyat kecil, giliran Kapal Induk Amerika lewat ciut kek tikus gk ngapa2in😂",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,0,1,0,0,0,0,1,0,1,0
384,Jika anda dipidanakan. Demo besar-an siap dimulai,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
385,jendral mempermalukan institusi sendiri,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
386,"konten paling berisi. org yg cerdas adalah org yg selalu mengingat mati, mempersiapkan kematian. Ferry sdh melakukan itu.. Lanjutkan",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
387,"Terlucu sih, malah keliatan panik😂",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
388,you're probably the next Munir dude...,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
389,"""Saya menemukan fakta-fakta, yg diduga""

PAK FAKTA KOK MASIH RAGU???😂😂",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
390,Menilai itu mudah. Introspeksi diri yang sulit. Kita bagian dari masalah atau solusi?.,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
391,"keep it up
u're being so goated that the government want to destroy you
but they're cant destroy your idea

kapan terakhir kali bung ferry mengeluarkan 100% power

jika anda terjatuh.. 
maka dimasa depan saya harus meneruskan perjuanganmu",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
392,Ferry kebanyakan nonton film v for vedentta. Tapi dia masih kalah sama anak Nepal Avishkar Raut yg bisa buat rakyat Nepal bunuh PM nya. Gw malah sedih pas liat barang jarahan dibalikin lagi ke DPR korup yg joget2 itu. Sama aja boong.,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,1,1,0,0,0,0,0,1,1,0,0
393,"Fery Irwandi anda lah jendral sesungguhnya,,yg membela kepentingan org banyak,,bukan seperti jendral2 yg hanya mementingkan kepentingan pribadi dan kelompoknya nya",https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
394,Up ❤,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
395,Kritik j dh GK boleh kita bang. Parah pemerintah sekarang mau membungkam kita rakyat Indonesia yang mengritik,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
396,semangat kak,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
397,Undang 3 jendral ke podcast bung,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
398,Jangan Lupa Ngopi Bro,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
399,Fery Irwandi🔥,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
400,Keras mengkritik d penjara .oalah indonsa2 hukum apaan trs gmnaa .teriak2 z gk boleh sdgkn pejabat seenaknya hal apapun pernahkh minta pendpt rkyt.trs ms irwandi keras kritij,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej,0,0,0,0,0,0,0,0,0,0,0
401,"Sahroni memang benar, DPR tidak bisa dibubarkan.. karena sudah diatur oleh konstitusi UUD1945 pasal 7c..",https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,0,0,0,0,0,0,0,0,0,0,0
402,Si Sadarestuawi ludahinn,https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,1,1,0,0,0,0,0,1,1,0,0
403,Sahroni Orang paling tolol seluruh dunia karena saking pintarnya,https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,1,1,0,0,0,0,0,1,1,0,0
404,"Kenapa harus klarifikasi.....
pejabat kok sampe salah bicara....
Kalau memang salah bicara berarti yang duduk disana orang yang tolol-tolol

.",https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,1,0,1,0,0,0,0,1,0,1,0
405,"WAHAI PRESIDEN SINGAPURA BAWA TUAN SAHRONI KERUMAHNYA SUDAH ADA YANG MENUNGGUNYA, KATANYA,""MANA SAHRONI SINI DIA DASAR TIKUS BERDASI""",https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,1,1,0,0,0,0,0,1,1,0,0
406,Orang bodo dan.tolol bisa jadi wakil.ketua fraksi coba lihat ijazah hanya cuma nilai sedang rata rata 61/2,https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6,1,1,0,0,0,0,0,1,1,0,0
